CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,
Sylvania,to Bulloch County Courthouse in Statesboro,,GA,US,2020-09-19,,,,,,,general protesters,"against racism, against police violence",1,rally; protest,,,,,1,1,https://www.statesboroherald.com/local/statesboro-police-chief-urges-calm-saturday-rally/,https://www.wrdw.com/2020/09/20/i-want-to-know-why-people-across-georgia-gather-at-rally-for-julian-lewis/,https://www.wtoc.com/2020/09/19/sylvania-protestsers-rally-together-over-shooting-death-julian-lewis/,,,
Syracuse,,,NY,US,2020-09-19,several dozen,36,,36,,,Last Chance for Change,"against racism, against police violence",1,march,,,,,1,1,http://dailyorange.com/2020/09/last-chance-change-protests-spd-shooting-man-north-side/,,,,,
Talladega,100 Johnson Ave S,,FL,US,2020-09-19,,,,,,,Talladega Black Justice League,"against racism, against police violence",1,protest; march,,,,,1,1,https://www.annistonstar.com/the_daily_home/talladega-black-justice-league-plans-march-saturday/article_5d60cb0a-f94f-11ea-af84-7b9fcdae5c57.html,,,,,
Tampa,"Tampa Police Headquarters, 411 N Franklin St",,FL,US,2020-09-19,,,,,,,Tampa Bay Community Action Committee,"against police violence, against racism, for community control of police, for withdrawal of federal agents and National Guard from U.S. cities",1,protest,,,,,1,1,https://www.facebook.com/events/4306678052735742/,,,National Day of Protest,,
Tampa,Curtis Hixon Waterfront Park,,FL,US,2020-09-19,,,,,,,Tampa's TRUMP - Florida,"for President Trump, for police, against the radical left",2,rally,,,,,0,1,https://www.facebook.com/events/3217491764986352/,,,,,
Topeka,Kansas State Capitol,,KS,US,2020-09-19,count video,20,,40,,,Open Up Kansas,"for reopening businesses during the COVID-19 pandemic, against mask mandates",0,rally,,,,,1,1,https://www.ksnt.com/news/local-news/people-gather-at-free-kansas-rally-to-open-state-without-restrictions/,http://openupks.com/,,,,
Virginia Beach,"1307 Grille Sports Lounge, Atlantic Ave",,VA,US,2020-09-19,,,,,,,Black Lives Matter 757,"against racism, against police violence",1,march,,,,,1,1,https://www.wavy.com/news/local-news/virginia-beach/blm-holds-protest-at-oceanfront-to-mark-5-year-anniversary-india-kager-death/,https://www.instagram.com/p/CFVS0jInlSj/?igshid=1mzmgodxx6qwx,,,,
Warren,Hoover Rd,,MI,US,2020-09-19,about 250 people,250,,250,,,Detriot Will Breathe; South Warren Alliance for Radical Movement,against racism,1,march,,,,,1,1,https://www.detroitnews.com/story/news/local/macomb-county/2020/09/19/protest-black-family-becomes-standoff-between-detroit-breathe-and-trump-supporters/5839022002/,https://www.theroot.com/michigan-protest-for-black-family-targeted-in-racist-at-1845122708,,,,
Warren,Hoover Rd,,MI,US,2020-09-19,,,,,,,general protesters,"against Black Lives Matter, for police, for President Trump",2,counter-protest,,,,,0,1,https://www.detroitnews.com/story/news/local/macomb-county/2020/09/19/protest-black-family-becomes-standoff-between-detroit-breathe-and-trump-supporters/5839022002/,https://www.theroot.com/michigan-protest-for-black-family-targeted-in-racist-at-1845122708,,,,
Washington,White House,,DC,US,2020-09-19,,,,,,,Party for Socialism and Liberation; Party for Socialism and Liberation - DC,"against political repression, against arrests of anti-police organizers, against racism",1,protest,,,,,1,1,https://twitter.com/FordFischer/status/1307398272290619398,https://www.facebook.com/events/3306567186088246,,,,
Washington,Supreme Court of the United States,,DC,US,2020-09-19,count video,2000,,2000,,,Demand Justice; Planned Parenthood Action; People for the American Way; NARAL Pro-Choice America; National Council of Jewish Women; March for Our Lives; Moms Demand Action for Gun Sense in America; The National Center for Lesbian Rights,"for Justice Ginsberg, for democracy",1,vigil,,,,,0,1,https://www.facebook.com/events/supreme-court-of-the-united-states/honor-rbg/724945221699808/,https://twitter.com/shannonrwatts/status/1307364991490695168,https://twitter.com/aletweetsnews/status/1307475338570629121,,,
Washington,,,DC,US,2020-09-19,,,,,,,general protesters,"against racism, against police violence",1,march,,,,,0,1,https://twitter.com/ChuckModi1/status/1307442224305766406,,,,,
Williamsburg,Merchants Square,,VA,US,2020-09-19,150-plus people,150,,150,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,https://www.wtkr.com/sports/tribe-sprinter-felecia-hayes-hosts-protests-every-week-for-4-months-straight,,,,,
Bowling Green,Circus Square Park,,KY,US,2020-09-20,,,,,,,BG Freedom Walkers,"against racism, against police violence",1,protest,,,,,1,1,https://www.wbko.com/2020/09/21/bg-freedom-walkers-and-local-candidates-gather-for-protest/,https://www.facebook.com/events/343400650367552,,,,
Canton,,,IL,US,2020-09-20,more than 90 vehicles,90,,90,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://week.com/2020/09/20/trump-train-rallies-in-canton/,,,,,
Charleston,Charleston Battery,,SC,US,2020-09-20,around 20,20,,20,,,general protesters,for removal of Confederate monument,0,protest,,,,,1,1,https://www.postandcourier.com/news/lexington-man-arrested-for-brandishing-weapon-at-charleston-battery-protest/article_9e9300e0-fb82-11ea-9474-9b439d64ad82.html,,,,,
Charleston,Charleston Battery,,SC,US,2020-09-20,,4,,4,,,general protesters,against removal of Confederate monument,0,counter-protest,,,,,0,1,https://www.postandcourier.com/news/lexington-man-arrested-for-brandishing-weapon-at-charleston-battery-protest/article_9e9300e0-fb82-11ea-9474-9b439d64ad82.html,,,,,
Charlotte,Romare Bearden Park,,NC,US,2020-09-20,,,,,,,Urban League of Central Carolinas Young Professionals,"honoring Jacob Blake, against racism, against police violence",1,rally,,,,,1,1,https://www.wbtv.com/2020/09/18/peaceful-rally-be-held-charlotte-honor-jacob-blake-jr/,https://www.wmbfnews.com/2020/09/21/jacob-blakes-family-leads-peaceful-rally-racial-justice-uptown-charlotte/,,,,
Chicago,Soldier Field,,IL,US,2020-09-20,,,,,,,general protesters,against cancelling fall school sports due to coronavirus,0,rally,,,,,1,1,https://wgntv.com/news/student-athletes-parents-rally-to-demand-return-of-fall-sports/,,,,,
Eau Claire,Eau Claire City Hall,,WI,US,2020-09-20,dozens,24,,24,,,general protesters,against ordinance that would allow the health department to enforce health orders related to COVID-19,0,protest,,,,,1,1,https://wqow.com/2020/09/21/eau-claire-residents-continue-to-protest-potential-health-ordinance/,,,,,
Eureka,F St and 6th St,,CA,US,2020-09-20,,,,,,,general protesters,"against racism, for abolishing police, for removing police from schools",1,protest,,,,,1,1,https://kymkemp.com/2020/09/21/protest-on-sunday-called-for-removing-officers-from-schools-and-reallocating-funds-from-law-enforcement-to-social-programs/,,,,,
Gainesville,Cooke County Courthouse,,TX,US,2020-09-20,,,,,,,PRO Gainesville,"against racism, for removal of Confederate statue from courthouse lawn",1,protest,,,,,1,1,https://www.facebook.com/events/357892072260735/,,,,,
Hickory,"L.P. Frans Stadium in Hickory to Bethlehem, Taylorsville, and Wilkesboro",,NC,US,2020-09-20,,,,,,,Burke County Trump Victory,for President Trump,2,car caravan,,,,,1,1,https://hickoryrecord.com/news/local/govt-and-politics/trump-road-rally-2-0-set-for-this-weekend/article_da4db7cd-6c47-5bec-80ad-f5d959009727.html,https://hickoryrecord.com/news/local/govt-and-politics/watch-now-trump-rally-takes-to-the-highways-of-hickory/article_3964a882-fc17-11ea-9856-c349d2148ac9.html,,,,
Houston,outside Sen. Ted Cruz's home,,TX,US,2020-09-20,,,,,,,general protesters,"against Senator Ted Cruz, for immigrant rights, against termination of Temporary Protected Status for migrants",1,protest,,,,,1,1,https://news4sanantonio.com/news/local/protesters-gathered-outside-of-senator-ted-cruz-home-in-defense-of-migrants,,,,,
Ithaca,Ithaca Commons,,NY,US,2020-09-20,,,,,,,Occupy Ithaca,"against racism, against police violence",1,rally,,,,,1,1,https://www.14850.com/091915860-police-rally-2009/,https://ithacavoice.com/2020/09/back-the-blue-black-lives-matter-rallies-meet-on-clinton-street/,,,,
Ithaca,Ithaca Police Department,,NY,US,2020-09-20,around 200 supporters,200,,200,,,Back the Blue Tompkins County,"for police, Back the Blue",2,rally,,,,,0,1,https://www.14850.com/091915860-police-rally-2009/,https://www.weny.com/story/42655423/back-the-blue-rally,https://ithacavoice.com/2020/09/back-the-blue-black-lives-matter-rallies-meet-on-clinton-street/,,,
Knoxville,Krutch Park,,TN,US,2020-09-20,,,,,,,Women's March Coalition; Jewish Voice for Peace - Knoxville; Know Pride; Indivisible East Tennessee; Knoxville Center for Reproductive Health; Tennessee Advocates of Planned Parenthood,"for Justice Ginsberg, against filling vacant Supreme Court seat before presidential inauguration",1,vigil,,,,,1,1,https://twitter.com/Bradshaw2020/status/1307885837737132032,https://www.facebook.com/events/716944128857885/,,,,
Milton,Milton Police Department,,PA,US,2020-09-20,about 100 people,100,,100,,,"If Not Us, Then Who?",for reforming police,1,rally,,,,,1,1,https://www.wkok.com/580476-2/,https://www.weaverphoto.com/index/G0000svKNgtEwekw,https://www.dailyitem.com/news/local_news/protesters-want-to-negotiate-demands-with-milton-leaders/article_b3fa1795-dc28-56c9-a1ee-93a68ebee30e.html,,,
Milton,Milton Police Department,,PA,US,2020-09-20,count pics,3,,3,,,general protesters,"for police, for President Trump",2,counter-protest,,,,,0,1,https://www.weaverphoto.com/index/G0000svKNgtEwekw,https://www.dailyitem.com/news/local_news/protesters-want-to-negotiate-demands-with-milton-leaders/article_b3fa1795-dc28-56c9-a1ee-93a68ebee30e.html,,,,
Milwaukee,4th St and Michigan Ave,,WI,US,2020-09-20,,,,,,,Milwaukee Area Labor Council,"against President Trump, for extending unemployment benefits and improving workplace conditions for essential workers during the COVID-19 pandemic, against racism",1,rally,,,,,1,1,https://www.facebook.com/events/1180351402340824/,,,,,
Minneapolis,Lake St E and 12th Ave S ,,MN,US,2020-09-20,nearly 100,100,,100,,,Native Lives Matter; Minnesota Immigrant Rights Action Committee,"against ICE, against forced sterilization of immigrant women",1,protest,,,,,1,1,https://unicornriot.ninja/2020/reports-of-forced-sterilizations-in-ice-facility-sparks-protest/,https://www.facebook.com/events/315996062829969/,,,,
Minneapolis,"Cup Foods, 3759 Chicago Ave S",,MN,US,2020-09-20,,,,,,,Black Lives Matter,"against racism, against police violence",1,march; rally,,,,,0,1,https://www.facebook.com/events/3348484508521755/,,,We Still Can't Breathe March and Rally,,
Nashville,Woodmont neighborhood,,TN,US,2020-09-20,,,,,,,general protesters,"for resignation of mayor, for reopening businesses during coronavirus pandemic",2,protest,,,,,1,1,https://www.wjhl.com/local-coronavirus-coverage/protesters-call-for-nashville-mayor-cooper-to-resign-city-to-reopen/,,,,,
New York,Columbus Circle,,NY,US,2020-09-20,,,,,,,Peoples Climate Movement NY; United Confederation of Taino People; The World Can't Wait; 350 NYC; Atlantic Climate Justice Alliance,"for environmental protection, against racism",1,march,,,,,1,1,https://twitter.com/ScooterCasterNY/status/1307748012001816578,https://docs.google.com/document/d/10fwz9mCja_R6rqiClzGISghR79Md5uE_RQplQ8XW7NM/edit,https://www.facebook.com/events/615254109179673/,March for Climate Justice Through Racial Justice,,
New York,Fifth Ave and 59th St,,NY,US,2020-09-20,,,,,,,March for the Dead,"for resignation of President Trump, for voting rights, for better and fairer healthcare and financial relief during the COVID-19 pandemic, for environmental protection, for ",1,march,,,,,0,1,https://twitter.com/justinhendrix/status/1307824919603032065,https://www.marchforthedead.org/,https://www.facebook.com/events/2662584984006885/,March for the Dead,,
New York,Brooklyn Municipal Building,,NY,US,2020-09-20,,,,,,,general protesters,for Justice Ginsburg,1,remembrance,,,,,0,1,https://www.brooklynpaper.com/eric-adams-municipal-building-rbg/,,,,,
Okatie,,,SC,US,2020-09-20,,,,,,,general protesters,for Republican candidates for office,2,rally,,,,,1,1,https://www.wjcl.com/article/beaufort-county-republican-party-campaign-rally-met-by-peaceful-protesters/34090598#,,,,,
Okatie,,,SC,US,2020-09-20,,,,,,,general protesters,against filling vacant Supreme Court seat before election,1,counter-protest,,,,,0,1,https://www.wjcl.com/article/beaufort-county-republican-party-campaign-rally-met-by-peaceful-protesters/34090598#,,,,,
Oklahoma City,Mesta Park,,OK,US,2020-09-20,several dozen,36,,36,,,general protesters,"for President Trump, for Second Amendment rights, for police",2,rally,,,,,1,1,https://kfor.com/news/local/several-dozen-people-gather-for-rally-in-northwest-oklahoma-city/,,,,,
Oklahoma City,Mesta Park,,OK,US,2020-09-20,,,,,,,general protesters,"against President Trump, against racism",1,counter-protest,,,,,0,1,https://kfor.com/news/local/several-dozen-people-gather-for-rally-in-northwest-oklahoma-city/,,,,,
Overland Park,Timber Creek Elementary School,,KS,US,2020-09-20,dozens,24,,24,,,parents,against mandatory quarantine for elementary school students exposed to coronavirus,0,protest,,,,,1,1,https://fox4kc.com/news/dozens-protest-after-more-than-100-asked-to-quarantine-at-timber-creek-elementary/,https://hayspost.com/posts/8c91d857-2b97-4caa-9e36-b20f13b79852,,,,
Pacific Beach,,,CA,US,2020-09-20,at least two dozen cars,24,,24,,,general protesters,"against racism, against police violence",1,car caravan,,,,,1,1,https://www.pbmonthly.net/news/story/2020-09-21/protesters-in-pacific-beach-caravan-for-racial-equality,,,Caravan for Justice,,
Parsippany,51 Gibraltar Dr,,NJ,US,2020-09-20,,,,,,,general protesters,"for President Trump, for police, for small businesses",2,rally,,,,,1,1,https://parsippanyfocus.com/2020/09/19/peaceful-protest-scheduled-for-sunday-in-parsippany/,,,,,
Peoria,,,IL,US,2020-09-20,,,,,,,Peoria County Republican Women,"for police, for President Trump, Back the Blue",2,rally; car caravan,,,,,1,1,https://www.centralillinoisproud.com/video/back-the-blue-rally-supporting-officers-and-the-president/5868045/,,,,,
Philadelphia,St. Edwards Chapel,,PA,US,2020-09-20,about six,6,,6,,,general protesters,against homelessness,0,occupation,1,,,,1,1,https://billypenn.com/2020/09/21/north-philly-protest-encampment-shut-down-police-church-cheri-honkala/,,,,,
Pittsburg,4th and Broadway,,KS,US,2020-09-20,,,,,,,general protesters,for further investigation by police of death ruled a suicide,0,protest,,,,,1,1,https://www.morningsun.net/news/20200923/pittsburg-protesters-demand-lsquojusticefortyleirsquo,,,Justice for Tylei Messer. Organizers said they plan to do this every Sunday.,,
Portland,Unthank Park,,OR,US,2020-09-20,,,,,,,general protesters,"against racism, against eviction",1,rally; march; sit-in,,,,,1,1,https://www.kgw.com/article/news/local/protests/protesters-gather-at-unthank-park-in-north-portland-march-to-sit-in/283-82bfc902-105e-469f-b15e-12fd559db494,,,,,
Portland,Laurelhurst Park,,OR,US,2020-09-20,,,,,,,general protesters,,1,dance protest,,,,,0,1,https://www.kgw.com/article/news/local/protests/protesters-gather-at-unthank-park-in-north-portland-march-to-sit-in/283-82bfc902-105e-469f-b15e-12fd559db494,,,,,
Portsmouth,801 Crawford St,,VA,US,2020-09-20,,,,,,,Black Lives Matter 757,"against racism, against corruption, for defunding police",1,protest,,,,,1,1,https://www.wavy.com/news/local-news/portsmouth/blm-holds-sunday-protest-in-portsmouth-calling-to-stop-corruption-defund-police/,,,,,
Rochester,Rochester City Hall,,NY,US,2020-09-20,,,,,,,Free the People ROC,"against racism, against police violence, for resignation of mayor",1,occupation,,,,,1,1,,,,,,
San Francisco,San Francisco City Hall,,CA,US,2020-09-20,,,,,,,Women's March San Francisco; San Francisco Women's Political Committee,for Justice Ginsberg,1,memorial,,,,,1,1,https://www.facebook.com/events/681282129406896/,,,,,
Schaumberg,Golf St and Meacham St,,IL,US,2020-09-20,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,,,,,,
Schaumberg,Golf St and Meacham St,,IL,US,2020-09-20,,,,,,,general protesters,"against President Trump, against fascism, against racism",1,counter-protest,,,,,0,1,https://www.facebook.com/events/4491731084231348/,,,,,
Shepherdstown,,,WV,US,2020-09-20,,,,,,,Eastern Panhandle Central Labor Council AFL-CIO; NAACP,"against racism, for minority and small business development, for voting rights",1,rally,,,,,1,1,https://www.journal-news.net/journal-news/racial-and-economic-justice-rally-spreads-message-of-change-unity/article_eee8cf94-cc5a-571b-b016-34987baed698.html,,,,,
Terre Haute,Vigo County Courthouse,,IN,US,2020-09-20,,,,,,,general protesters,"against impending execution of death row inmate, against capital punishment",0,rally,,,,,1,1,https://www.wthitv.com/content/news/Family-of-a-man-on-death-row-holds-rally-days-before-scheduled-executions-572472001.html,,,,,
Sioux Falls,"from Beal Distributing in Sioux Falls to Dell Rapids to Garretson to Luverne, Minnesota",,SD,US,2020-09-20,more than 200,200,,200,,,Bikers for Trump,for President Trump,2,motorcycle rally,,,,,1,1,https://www.argusleader.com/story/news/dell-rapids/2020/09/21/hundreds-bikers-cruise-dells-trump-freedom-rally/5846978002/,,,,,
South San Francisco,Westborough Park,,CA,US,2020-09-20,,,,,,,general protesters,seek justice for Derrick Gaines,1,vigil,,,,,1,1,https://www.instagram.com/p/CFPgwIfBCrb/,,,,,
Syracuse,,,NY,US,2020-09-20,,,,,,,Last Chance for Change,"against racism, against police violence",1,march,,,,,1,1,http://dailyorange.com/2020/09/last-chance-change-protests-3rd-day-outside-spd-headquarters/,,,Article notes that group marched for 40 straight days after George Floyd killing. See http://dailyorange.com/2020/08/last-chance-change-members-hope-make-lasting-impact-community/.,,
Tulsa,101st and Memorial,,OK,US,2020-09-20,,,,,,,general protesters,"against racism, against police violence, for Black Lives Matter",1,rally,,,,,1,1,https://www.facebook.com/events/321843518914991/,,,,,
Waco,,,TX,US,2020-09-20,dozens,24,,24,,,Republican Party of McClennan County,for police,2,prayer rally,,,,,1,1,https://www.kwtx.com/2020/09/20/waco-prayer-rally-held-for-local-law-enforcement/,,,,,
Wareham,Wareham Crossing,,MA,US,2020-09-20,about a dozen,12,,12,,,students,against postponing high school sports due to COVID-19 pandemic,0,rally,,,,,1,1,https://turnto10.com/news/local/south-coast-student-athletes-rally-to-reinstate-school-sports,,,,,
Whitman,Whitman VFW post 697,,MA,US,2020-09-20,about a thousand motorcyclists,1000,,1000,,,America Backs the Blue,"for police, Back the Blue",0,motorcycle rally,,,,,1,1,https://www.enterprisenews.com/news/20200920/we-need-law-and-order-south-shore-rolling-motorcycle-rally-shows-support-for-police,,,,,
Atlanta,"Centers for Disease Control and Prevention, 1600 Clifton Rd NE",,GA,US,2020-09-21,,,,,,,Refuse Fascism ATL; Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,protest; die-in,,,,,1,1,https://www.facebook.com/events/319721412428120/,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Bloomington,Monroe County Community School Corporation's Education Resource Center,,IN,US,2020-09-21,more than 30 people,30,,30,,,general protesters,for giving teachers choice between in-person and remote schooling during coronavirus pandemic,0,rally,,,,,1,1,https://www.idsnews.com/article/2020/09/bloomington-teachers-supporters-rally-against-in-person-teaching-during-the-covid-19-pandemic,,,,,
Boston,Boston Common,,MA,US,2020-09-21,,,,,,,Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://actionnetwork.org/event_campaigns/united-nationwide-protest-demanding-trumppenceoutnow,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Bowling Green,"Circus Square Park to Mitch McConnell's house in Louisville, KY",,KY,US,2020-09-21,,,,,,,Kentucky Poor People's Campaign: A National Call for Moral Revival; SOKY Chapter of Kentuckians For The Commonwealth,for greater economic relief for poor people during the coronavirus pandemic,1,car caravan,,,,,1,1,http://www.poorpeoplescampaign.org/,,,Moral Monday Caravans,,
Campo,border wall construction site east of Campo,,CA,US,2020-09-21,,,,,,,members of the Kumeyaay Nation,"against border wall construction, for native peoples' rights",1,occupation,2,,,,1,1,https://www.kpbs.org/news/2020/sep/22/border-patrol-arrest-two-kumeyaay-protests-against/,https://www.sandiegouniontribune.com/news/courts/story/2020-09-22/two-arrested-border-patrol-wall-camp-kumeyaay,,"Article notes that protest had gone on for weeks. Camp Landback. On IG, see https://www.instagram.com/kumeyaaydefenseagainstthewall/.",,
Chicago,Michigan Ave and Roosevelt Rd,,IL,US,2020-09-21,,,,,,,Refuse Fascism Chicago; Refuse Fascism; Freedom First International,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://www.facebook.com/events/3468300169859410/,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Cleveland,Market Square,,OH,US,2020-09-21,,,,,,,Refuse Fascism Ohio; Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://www.facebook.com/events/1436844806509848/,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Colliersville,Town Square Park,,TN,US,2020-09-21,several,3,,3,,,general protesters,for removal of Confederate monument,1,protest,,,,,1,1,https://www.fox13memphis.com/news/local/protesters-continue-demand-removal-collierville-confederate-monument/PNFBUFDXWRFY5OVTHLPSQ7X7EA/,,,,,
Colliersville,Town Square Park,,TN,US,2020-09-21,,,,,,,general protesters,against removal of Confederate monument,0,counter-protest,,,,,0,1,https://www.fox13memphis.com/news/local/protesters-continue-demand-removal-collierville-confederate-monument/PNFBUFDXWRFY5OVTHLPSQ7X7EA/,,,,,
Dayton,"Wright Brothers Aero, Dayton Airport",,OH,US,2020-09-21,"more than 1,000 supporters",1000,,1000,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.journal-news.com/news/biggest-cheers-jeers-at-trump-rally-in-dayton/HAQGT6ALCFFLNCESYPK7V6YS6U/,,,,,
Decatur,,,IL,US,2020-09-21,,,,,,,public transit workers,against company contracted to manage public transit,0,rally,,,,,1,1,https://www.wcia.com/local/public-transit-union-workers-rally-against-management-company/,,,,,
Denver,Byron Rogers Federal Building,,CO,US,2020-09-21,a group,,,,,,general protesters,against filling vacant Supreme Court seat before election,1,protest,,,,,1,1,https://www.9news.com/article/news/local/local-politics/group-protests-filling-scotus-vacancy/73-74d37cc0-3421-4d87-aaaf-d3e3559f054b,,,,,
Detroit,Grand Circus Park,,MI,US,2020-09-21,,,,,,,Refuse Fascism - Detroit Area; Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://www.facebook.com/events/675569996729593/,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Erie,Bayfront Convention Center,,PA,US,2020-09-21,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.erienewsnow.com/story/42660523/small-protest-outside-eric-trump-campaign-rally-in-erie,,,,,
Erie,Bayfront Convention Center,,PA,US,2020-09-21,about a half-dozen people,6,,6,,,general protesters,against President Trump,1,counter-protest,,,,,0,1,https://www.erienewsnow.com/story/42660523/small-protest-outside-eric-trump-campaign-rally-in-erie,,,,,
Farmington,Animas Valley Mall,,NM,US,2020-09-21,,,,,,,families,for in-person schooling during COVID-19 pandemic,0,protest,,,,,1,1,https://www.kob.com/new-mexico-news/farmington-parents-protest-governors-restrictions-on-in-person-learning/5869680/,,,,,
Fort Wright,"to Mitch McConnell's house in Louisville, KY",,KY,US,2020-09-21,,,,,,,Kentucky Poor People's Campaign: A National Call for Moral Revival; SOKY Chapter of Kentuckians For The Commonwealth,for greater economic relief for poor people during the coronavirus pandemic,1,car caravan,,,,,1,1,http://www.poorpeoplescampaign.org/,https://www.instagram.com/p/CFUQzNKAudO/,https://actionnetwork.org/forms/moral-monday-caravans-and-digital-march-on-mcconnell/,Moral Monday Caravans,,
Fresno,Fresno City Hall,,CA,US,2020-09-21,hundreds of people,200,,200,,,general protesters,for keeping businesses open during coronavirus pandemic,0,rally,,,,,1,1,http://sjvsun.com/business/backed-into-a-corner-hundreds-rally-to-reopen-fresno-co-industries/,https://gvwire.com/2020/09/21/vocal-rally-at-fresno-city-hall-we-are-telling-you-we-are-opening-october-1st/,https://kmph.com/news/local/open-fresno-county-rally-in-downtown-fresno,,,
Gahanna,,,OH,US,2020-09-21,hundreds,200,,200,,,Gahanna-Jefferson School District staff members,against school district's hybrid learning model during coronavirus pandemic,0,rally,,,,,1,1,https://www.nbc4i.com/news/local-news/gahanna-jefferson-school-teachers-rally-against-hybrid-learning-model/,,,,,
Grand Rapids,Rosa Parks Circle,,MI,US,2020-09-21,,,,,,,Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://actionnetwork.org/event_campaigns/united-nationwide-protest-demanding-trumppenceoutnow,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Homer,Lands End Resort,,AK,US,2020-09-21,200 people,200,,200,,,general protesters,for President Trump,2,rally,,,,,1,1,https://mustreadalaska.com/trump-rally-in-homer-draws-200-people-to-lands-end/,,,,,
Honolulu,Prince Kuhio Federal Building,,HI,US,2020-09-21,,,,,,,Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://actionnetwork.org/event_campaigns/united-nationwide-protest-demanding-trumppenceoutnow,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Houston,2521 Post Oak Blvd,,TX,US,2020-09-21,,,,,,,Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://actionnetwork.org/event_campaigns/united-nationwide-protest-demanding-trumppenceoutnow,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Huntersville,outside Sen. Thom Tillis's house,,NC,US,2020-09-21,,,,,,,Sunrise Movement,against confirming new Supreme Court justice before presidential inauguration,1,protest,,,,,1,1,https://twitter.com/sunrisemvmtnc/status/1308019479201435648,,,,,
Kansas City,Jackson County Courthouse,,MO,US,2020-09-21,small number of attendees,,,,,,general protesters,"against racism, against wrongful conviction of a Black man",1,protest,,,,,1,1,https://www.thepitchkc.com/supporters-gather-at-jackson-county-courthouse-in-protest-of-wrongful-conviction/,,,"In support of Gabriel Leonard, Sr.",,
Las Vegas,George Lloyd Federal Courthouse,,NV,US,2020-09-21,,,,,,,Refuse Fascism,"against President Trump, against fascism, against federal government response to COVID-19 pandemic",1,march,,,,,1,1,https://actionnetwork.org/event_campaigns/united-nationwide-protest-demanding-trumppenceoutnow,,,"March Against Death, Lies, and Fascism and FOR Humanity!",,
Las Vegas,outside Gov. Steve Sisolak's home,,NV,US,2020-09-21,between 75 and 100 people; about 100,75,,100,,,No Mask Nevada,against mask mandate during coronavirus pandemic,0,protest,,,,,0,1,https://www.8newsnow.com/news/local-news/no-mask-nevada-protest-near-gov-steve-sisolaks-las-vegas-home/,https://www.kolotv.com/2020/09/23/nevada-pac-protests-mask-mandate-outside-governors-home/,https://www.reviewjournal.com/news/politics-and-government/nevada/no-mask-nevada-pac-holds-rally-at-sisolaks-las-vegas-home-2126451/,,,
Lexington,outside Sen. Mitch McConnell's office,,KY,US,2020-09-21,more than 100 protesters,100,,100,,,Kentucky Poor People's Campaign: A National Call for Moral Revival; SOKY Chapter of Kentuckians For The Commonwealth,for greater economic relief for poor people during the coronavirus pandemic,1,car caravan,,,,,1,1,https://www.wtvq.com/2020/09/21/caravan-protest-outside-sen-mitch-mcconnells-lexington-office/,https://www.wkyt.com/2020/09/21/protesters-gather-outside-sen-mcconnells-lexington-office/,http://www.poorpeoplescampaign.org/,Moral Monday Caravans,,
Libertyville,,,IL,US,2020-09-21,,,,,,,general protesters,for in-person schooling and school sports during coronavirus pandemic,0,rally,,,,,1,1,https://chicago.cbslocal.com/2020/09/21/suburban-parents-rally-for-kids-to-return-to-school-rather-than-remote-learning/,,,,,
Logan,Logan County Board of Education,,WV,US,2020-09-21,small turnout,,,,,,general protesters,against postponing high school sports due to COVID-19 pandemic,0,protest,,,,,1,1,https://www.wsaz.com/2020/09/21/protesters-back-out-in-logan-county/,,,,,
