CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,
Saint Paul,Mears Park,,MN,US,2020-09-03,nearly 100,100,,100,,,Families Supporting Families Against Police Violence,"against racism, against police violence",1,march,,,,,1,1,https://unicornriot.ninja/2020/mom-leads-march-for-son-killed-by-police-in-1997/,,,Justice for Demetrius Hill,,
San Francisco,outside House Speaker Nancy Pelosi's home,,CA,US,2020-09-03,,,,,,,general protesters,against COVID-related business closures,2,protest,,,,,1,1,https://www.dailywire.com/news/angry-salon-customers-protest-at-pelosis-home-hang-blow-dryers-and-curlers-on-pelosis-tree/,,,"Protest by self-described ""angry salon customers"" who want to patronize salons and were mad about video showing Speaker Pelosi having her hair done at a salon.",,
San Francisco,Mission High,,CA,US,2020-09-03,,,,,,,general protesters,defund the police,1,protest,,,,,0,1,https://www.instagram.com/p/CEkZO4nhnjh/,,,,,
Tampa,2101 E 13th Ave,,FL,US,2020-09-03,about 20 vehicles,20,,20,,,Florida for $15,for higher minimum wage,1,strike; car caravan,,,,,1,1,https://www.cltampa.com/news-views/local-news/article/21143613/calling-for-a-living-wage-tampa-fast-food-workers-organized-a-car-caravan-and-walkout-strike,,,Outside McDonald's,,
Aurora,Aurora Police Department,,IL,US,2020-09-04,count: FB,31,,31,,,general protesters,"against pedophelia, against child sex trafficking",0,protest,,,,,1,1,https://www.facebook.com/events/744655809601347/,,,#SaveOurChildren,,
Burlington,University of Vermont Green,,VT,US,2020-09-04,,,,,,,general protesters,against police brutality,1,protest,,,,,1,1,https://www.wcax.com/2020/09/04/burlington-protesters-to-take-demands-to-mayors-doorstep/,,,Article notes that this was the 10th consecutive day of protests over this issue in Burlington.,,
Everett,3101 Broadway,,WA,US,2020-09-04,,,,,,,general protesters,"against racism, against police violence",1,march,2,,,,1,1,https://www.facebook.com/events/335733137627425/,https://www.heraldnet.com/news/everett-protest-ends-with-dramatic-encounter/,,"Car drove through protesters, no one injured",,
Everett,Broadway,,WA,US,2020-09-04,a few,3,,3,,,general protesters,"for police, Back the Blue",2,counter-protest,,,,,1,1,https://www.heraldnet.com/news/everett-protest-ends-with-dramatic-encounter/,,,,,
Kansas City,City Hall,,MO,US,2020-09-04,hundreds,200,,200,,,SCLC; NAACP; Urban League; UMLC Student Government Association; Black Rainbow,"against racism, against police brutality",1,march,,,,,1,1,https://www.kansascity.com/news/local/article245503560.html,https://www.thepitchkc.com/this-weeks-march-on-kansas-city-established-peaceful-protest-as-the-continuing-standard/,https://www.facebook.com/events/740363203466001/,,,
Kenosha,Wolfenbuttel Park,,WI,US,2020-09-04,,,,,,,general protesters,"against Black Lives Matter, for defense of Kyle Rittenberg, for gun rights",2,protest,,,,,1,1,https://www.rallylist.com/free-kyle-rittenhouse/,,,,,
La Crosse,University of La Crosse,,WI,US,2020-09-04,,,,,,,student workers,for hazard pay and better personal protective equipment during COVID-19 pandemic,0,strike ,,,,,1,1,https://twitter.com/oherken/status/1301957916778532865,,,,,
New York,Foley Square,,NY,US,2020-09-04,,150,,150,,,New Afrikan Black Panther Party; Revolutionary Abolitionist Movement,"against racism, against police violence, for abolishing police ",1,protest,8,,,1,1,1,https://nypost.com/2020/09/05/black-lives-matter-protesters-riot-in-manhattan-cause-100000-damage/,,,"Police claim protesters caused $100,000 in damage to storefronts.",,
New York,Brooklyn Friends School,,NY,US,2020-09-04,dozens,24,,24,,,teachers; parents; students,"against union-busting, for collective bargaining during COVID-19 pandemic",0,protest,,,,,1,1,https://www.brooklynpaper.com/brooklyn-friends-school-protest/,,,,,
Philadelphia,Philadelphia City Hall,,PA,US,2020-09-04,hundreds,200,,200,,,Party for Socialism and Liberation - Philadelphia,"against racism, against police violence, for defunding police, for justice for Jacob Blake, for stronger measures against COVID-19",1,rally; march,,,,,1,1,https://whyy.org/articles/protest-in-philly-over-police-shooting-of-jacob-blake-in-wisconsin/,https://www.facebook.com/events/308846963561346/,,,,
Poplar Bluff,Black River Coliseum,,MO,US,2020-09-04,count: FB,42,,42,,,general protesters,"against pedophelia, against child sex trafficking",0,protest,,,,,1,1,https://www.facebook.com/events/347824929953297/,,,,,
Portland,Portland Police Association,,OR,US,2020-09-04,a few hundred,300,,300,,,general protesters,"against racism, against police violence",1,protest,27,1,,,1,1,https://www.cbsnews.com/news/portland-protests-reach-100-consecutive-days-this-weekend/,https://www.washingtonpost.com/nation/2020/09/05/rochester-daniel-prude-protests/,,,1,
Providence,Burnside Park,,RI,US,2020-09-04,count: FB,14,,14,,,general protesters,"against racism, against police violence",1,protest; march,,,,,1,1,https://www.facebook.com/events/943662542805773/,,,,,
Rochester,Martin Luther King Jr. Park,,NY,US,2020-09-04,at least 1000,1000,,1000,,,general protesters,"against racism, against police violence, for resignation of mayor, for resignation of police chief",1,march,11,,3,1,1,1,https://www.washingtonpost.com/nation/2020/09/05/rochester-daniel-prude-protests/,https://twitter.com/zdroberts/status/1302080406326521858,https://twitter.com/ScooterCasterNY/status/1302060108898357257,"Police in riot gear used pepper balls, then tear gas after declaring unlawful assembly.",1,
Seattle,Ship Canal Bridge,,WA,US,2020-09-04,count video,20,,30,,,general protesters,"against racism, against police violence",1,roadblock,9,,,,1,1,https://www.king5.com/article/news/local/protests/troopers-arrest-9-drivers-for-blocking-sb-i-5-in-seattle/281-30a75539-beba-4134-867d-82b54ab2c5ec,https://twitter.com/gramsofgnats/status/1301935523267665920,,Protesters blocked I-5 with their cars. Police arrested 9 drivers and impounded 9 cars.,,
Arlington,,,VA,US,2020-09-05,more than 100,100,,100,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://www.washingtonpost.com/local/protests-continue-saturday-in-dc-after-police-fatally-shoot-18-year-old-deon-kay-in-southeast/2020/09/05/f72a910e-eed6-11ea-ab4e-581edb849379_story.html,,,"Marched through Georgetown to Dupont Circle, met up with Occupy DC group there.",,
Atlanta,Auburn Ave and Jackson St,,GA,US,2020-09-05,,,,,,,Refuse Fascism ATL,"for resignation of President Trump, against fascism, against racism, against police violence",1,march; car caravan,,,,,1,1,https://www.facebook.com/events/927882117710821/,,,Trump/Pence Out Now,,
