CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
Burlington,Battery Park,,VT,US,2020-08-28,several dozen,36,,36,,,general protesters,"against racism, against police violence, for police reform",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/08/28/4th-consecutive-day-of-protests-in-burlington/,,,,
Columbia,Memorial Park,,SC,US,2020-08-28,,24,,30,,,Black Lives Matter South Carolina; Amplify Action; National Action Network; SC AIDS Healthcare Foundation,"against racism, for voter registration",1,march,,,,,1,1,https://www.wistv.com/2020/08/28/live-protesters-gather-columbia-anniversary-march-washington/,https://twitter.com/Chris_D_Joseph/status/1299331324185120769,https://www.postandcourier.com/free-times/cover_story/as-a-summer-of-protest-turns-to-fall-sc-activists-keep-pushing-for-change/article_8db0f490-f08c-11ea-891d-a72d157798a4.html,,
Columbia,Memorial Park,,SC,US,2020-08-28,count video,5,,10,,,militia groups,against Black Lives Matter,2,counter-protest,,,,,0,1,https://www.wistv.com/2020/08/28/live-protesters-gather-columbia-anniversary-march-washington/,https://twitter.com/Chris_D_Joseph/status/1299331324185120769,,,
Denver,Civic Center Park,,CO,US,2020-08-28,hundreds,200,,200,,,general protesters,"against racism, against police brutality, for civil and economic rights of African Americans",1,rally,,,,,1,1,https://www.cpr.org/2020/09/12/armored-groups-are-playing-late-night-cat-and-mouse-at-downtown-denver-protests/,https://www.westword.com/news/denver-protest-roundup-after-jacob-blake-shooting-august-2020-11784711,,Get Your Knee Off Our Necks March satellite event,1
Denver,Civic Center Park,,CO,US,2020-08-28,a group of 50 or more men,50,,50,,,general protesters,against Black Lives Matter,2,counter-protest,,,,,0,1,https://www.cpr.org/2020/09/12/armored-groups-are-playing-late-night-cat-and-mouse-at-downtown-denver-protests/,,,,
Dubuque,,,IA,US,2020-08-28,,,,,,,general protesters,"against racism, against police violence",1,protest,,,,,1,1,https://dailyiowan.com/2020/09/01/black-lives-matter-protesters-face-off-with-iowa-state-patrol-near-i-80-monday-night/,,,,
Hattiesburg,University of Southern Mississippi,,MS,US,2020-08-28,count pic,75,,125,,,students; student athletes,"against racism, against police brutality",1,march,,,,,1,1,https://www.mississippifreepress.org/5581/photo-gallery-usm-football-players-walk-out-in-black-lives-matter-protest/,,,"Football team walked out of practice to march, were joined by other students and sympathizers.",
Kenosha,,,WI,US,2020-08-28,,,,,,,National Alliance Against Racist and Political Repression,"against racism, for police reform, for judicial reform",1,rally,,,,,,,,,,,
Miami Gardens,Florida Memorial University,,FL,US,2020-08-28,,,,,,,general protesters,"against racial injustice, against police brutality",1,rally,,,,,1,1,https://www.local10.com/news/local/2020/08/28/social-justice-drive-in-rally-at-fmu-coincides-with-march-on-washington/,,,Get Your Knee Off Our Necks March satellite event,
North Las Vegas,2428 N. Martin Luther King Blvd.,,NV,US,2020-08-28,about 100,100,,100,,,National Action Network,"against racial injustice, against police brutality",1,march,,,,,1,1,https://www.reviewjournal.com/local/protest-held-in-nlv-on-anniversary-of-1963-march-on-washington-2107309/,https://lasvegassun.com/news/2020/aug/28/north-las-vegas-march-puts-focus-social-justice/?_ga=2.68725393.1443281006.1598806018-1693196889.1598806018,,Get Your Knee Off Our Necks March satellite event,
Oakland,Fairyland Parking area to City Hall,,CA,US,2020-08-28,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CEaCpY6BZzo/,,,,
Orlando,City Hall,,FL,US,2020-08-28,about 100,100,,100,,,general protesters,"against racial injustice, against police shooting of a Black man",1,march,,,,,1,1,https://www.clickorlando.com/news/local/2020/08/28/march-on-washington-commemoration-held-in-orlando/,,,Get Your Knee Off Our Necks March satellite event,
Portland,Oregon Convention Center,,OR,US,2020-08-28,"more than 1,000",1000,,1500,,,NAACP Portland; Fridays 4 Freedom,"against racism, against police violence",1,march,,,,,1,1,https://www.oregonlive.com/news/2020/08/naacp-black-youth-organization-hold-march-on-portland-friday-afternoon-live-updates.html,,,,
Portland,"Pearl District, outside Mayor Wheeler's condomium",,OR,US,2020-08-28,at least 150,150,,175,,,general protesters,"against racism, against police violence, for defunding police, for resignation of mayor",1,protest,,,,,0,1,https://www.oregonlive.com/pacific-northwest-news/2020/08/protesters-gather-at-portland-mayor-ted-wheelers-condo-friday-night-live-updates.html,,,,
Portland,North Portland police union building,,OR,US,2020-08-28,more than 150,150,,,,,general protesters,"against racism, against police violence, for defunding police, for resignation of mayor",1,vigil; march,19,,,1,0,1,https://www.oregonlive.com/pacific-northwest-news/2020/08/protesters-gather-at-portland-mayor-ted-wheelers-condo-friday-night-live-updates.html,,,article notes that protests have occurred every day in Portland since May 28,
Raleigh,Wake County Justice Center,,NC,US,2020-08-28,thousands,2000,,2000,,,general protesters,"against racism, for abolishing police",1,protest,several,,,,1,1,https://www.workers.org/2020/09/51029/,,,,
Saint Louis,"Jefferson Bank, Market St",,MO,US,2020-08-28,,,,,,,general protesters,"against racism, against police violence, for protection of voting rights, for protection of frontline workers during COVID-19 pandemic, against sabotage of the postal service",1,protest,,,,,1,1,http://www.stlamerican.com/news/community/jefferson-bank-protest-supports-usps/article_830ba9ca-f836-11ea-863d-fbbd9e48e634.html,,,57th Annual Jefferson Bank Commemorative Protest,
Salt Lake City,Washington Square Park,,UT,US,2020-08-28,about 200,200,,200,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://apnews.com/e99f9bfcca9cb388054486fa41192194,,,Get Your Knee Off Our Necks March satellite event,
San Diego,14th and Broadway,,CA,US,2020-08-28,count video,75,,150,,,general protesters,"against racism, against police violence",1,march,9,,,,1,1,https://www.nbcsandiego.com/news/local/protesters-march-through-downtown-in-solidarity-with-wisconsin-demonstrators/2395184/,,,Police apparently used pepper spray. Allegation that a protester also tear-gassed police.,1
San Jose,City Hall,,CA,US,2020-08-28,,,,,,,general protestors,antiracism; against police brutality; justice for James Blake,1,protest,,,,,1,1,https://www.instagram.com/p/CEWxkcsBPqD/,https://www.instagram.com/p/CESRdIPBgp4/,,,
South Bend,,,IN,US,2020-08-28,,,,,,,general protesters,"against human trafficking, #SaveOurChildren",0,rally,,,,,1,1,https://wsbt.com/news/local/south-bend-group-holds-save-our-children-rally,,,,
Washington,Lincoln Memorial,,DC,US,2020-08-28,tens of thousands; some 50000,20000,,50000,,,National Action Network; NAACP; National Urban League; Hispanic Federation; others,antiracism; against police brutality; for criminal justice reform; for voting rights,1,rally; march,0,0,0,0,1,1,https://www.washingtonpost.com/dc-md-va/2020/08/25/march-on-washington-rally/,https://apnews.com/e99f9bfcca9cb388054486fa41192194,https://www.theguardian.com/us-news/2020/aug/28/march-washington-dc-racism-get-your-knee-off-our-necks,Get Your Knee Off Our Necks March; https://www.bbc.com/news/world-us-canada-53954697,
Washington,ride started in California,,DC,US,2020-08-28,,,,,,,Black Girls Ride,antiracism; against police brutality,1,motorcycle protest,,,,,0,1,https://www.washingtonpost.com/dc-md-va/2020/08/25/march-on-washington-rally/,https://www.eventbrite.com/e/black-girls-ride-to-the-march-on-washington-tickets-110276271296,,,
Washington,outside US Department of Justice,,DC,US,2020-08-28,,,,,,,Every Case Matters,reopen of police shooting cases; antiracism; against police brutality,0,protest,,,,,0,1,https://www.washingtonpost.com/dc-md-va/2020/08/25/march-on-washington-rally/,,,,
Augusta,Clarks Hill Lake,,GA,US,2020-08-29,,,,,,,general protesters,pro-Trump,2,boat parade,,,,,1,1,https://www.ajc.com/news/atlanta-news/hundreds-join-lake-allatoona-boat-parade-to-honor-trump-america/SKHQFVJLIVHTXAYGSY7EQRMEJQ/,,,Trump Boat Parade,
Austin,City Hall,,TX,US,2020-08-29,count video,75,,150,,,The Austin Liberation Youth Movement,"against racism, against police violence, for defunding police",1,protest; march,8,,,,1,1,https://www.kens5.com/article/news/local/austin-jacob-blake-protests-arrests/269-9be9ef7d-8b21-48f2-9721-d8389d823d67,,,,
