CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
Dallas,1500 Marilla St,,TX,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Davenport,Vander Veer Botanical Park,,IA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Daytona Beach,211 N Beach St,,FL,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Delta Junction,Buffalo Center Fuel,,AK,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Denver,Denver Police Department,,CO,US,2020-08-22,dozens,24,,24,,,general protesters,for abolishing police,1,protest,12,,,1,1,1,https://www.westword.com/news/denver-police-protest-update-and-fallout-11781249,https://www.westword.com/news/denver-protest-roundup-after-jacob-blake-shooting-august-2020-11784711,https://www.cpr.org/2020/09/12/armored-groups-are-playing-late-night-cat-and-mouse-at-downtown-denver-protests/,,
Des Moines,Iowa State Capitol,,IA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Destin,4100 Legendary Dr,,FL,US,2020-08-22,count: FB,12,,12,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/rally-against-human-traffickin/2835963996690458/,,,
Detroit,McNamara Federal Building,,MI,US,2020-08-22,about 400,400,,400,,,Detroit Will Breathe,"against racism, against police violence",1,"rally, march; blockade",44,,,,1,1,https://www.freep.com/story/news/local/michigan/detroit/2020/08/23/detroit-protest-downtown-police-arrests/3423820001/,,,"Police in riot gear moved on protesters with tear gas, flash bombs, batons, shields shortly after midnight, made mass arrests.",1
Detroit,555 Lafayette St,,MI,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,0,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Detroit,Campus Martius Park,,MI,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,0,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Detroit,800 Woodward Ave,,MI,US,2020-08-22,count: FB,11,,11,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,0,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/freedom-for-the-children/952108035307227/,,,
Diamond Bar,Target on Grand and Golden Springs,,CA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
East Lansing,139 Bailey St,,MI,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Eau Claire,Phoenix Park,,WI,US,2020-08-22,count: FB,64,,64,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://wqow.com/2020/08/22/saveourchildren-comes-to-eau-claire-with-rally/,https://www.facebook.com/events/s/save-our-children-rally/428314888073249/,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,
Elizabethton,Broad St,,TN,US,2020-08-22,handful,5,,5,,,general protesters,"against child sex trafficking, #savethechildren",0,rally,,,,,1,1,https://www.wjhl.com/news/local/save-our-children-locals-host-rally-to-raise-awareness-about-child-sex-trafficking/,,,,
Elizabethtown,Public Square,,KY,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Elkin,Downtown Elkin Historic District,,NC,US,2020-08-22,count: FB,5,,5,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/saveourchildren-elkin/296563341634060/,,,
Englewood,Dearborn St,,FL,US,2020-08-22,count: FB,42,,42,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/save-the-children-against-pedo/628039848111859/,,,
Fairbanks,"Regal Cinema, Airport Way",,AK,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Fairmont,Palatine Park,,WV,US,2020-08-22,count: FB,15,,15,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/100citymarch-against-human-tra/664358684439445/,,,
Findlay,Findlay Courthouse,,OH,US,2020-08-22,count: FB,39,,39,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/save-the-children-movement-fin/576545663042034/,,,
Flagstaff,,,AZ,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Flint,2402 Nolen Dr,,MI,US,2020-08-22,count: FB,15,,15,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/march-to-saveourchildren-flint/294674451862173/,,,
Foley,Heritage Park,,AL,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://www.wkrg.com/top-stories/two-save-the-children-events-set-for-this-saturday/,https://www.facebook.com/groups/1069431513459946/,,,
Fort Worth,2201 W 7th St,,TX,US,2020-08-22,count: FB,39,,39,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/freedom-for-the-children-fort-/1249421805397200/,,,
Fort Worth,1000 E Weatherford St,,TX,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,0,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Fontana,Beech and Falcon Ridge,,CA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Frederick,N Market St and E 6th St,,MD,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Fresno,5035 E McKinley Ave,,CA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://www.facebook.com/events/s/save-the-children-a-march-to-e/347377953113358/,,,,
Gainesville,Magnolia Park,,FL,US,2020-08-22,count video,10,,10,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://www.wcjb.com/2020/08/22/save-our-children-rally-hits-gainesvilles-streets/,,,,
Grand Rapids,Rosa Parks Circle,,MI,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://wwmt.com/news/local/save-our-children,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,
Great Falls,Central Avenue Bridge,,MT,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Greenville,Falls Park,,SC,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Greenwich,118 Greenwich Ave,,CT,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/freedom-for-the-children/917177678765835/?ti=icl,,,
Gulfport,Jones Park,,MS,US,2020-08-22,count: FB,10,,10,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/saveourchildren/1171502666541009/,,,
Harrisburg,501 N 3rd St,,PA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Herminston,1320 N 1st St,,OR,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/freedom-for-the-children-walk/2808707346026414/?ti=icl,,,
Highland,Wicker Memorial Park,,IN,US,2020-08-22,count: FB,178,,178,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/freedom-for-the-children-india/779779949426586/,,,
Honesdale,Honesdale Central Park,,PA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Hopkinsville,100 Justice Way,,KY,US,2020-08-22,count: FB,14,,14,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/be-their-voice/602990630414740/,,,
Hot Springs,,,AR,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Houston,George R. Brown Convention Center,,TX,US,2020-08-22,count: FB,116,,116,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/freedom-for-the-children-houst/645949276279292/,,,
Houston,Discovery Green Park,,TX,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,0,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Houston,Harris County Courts,,TX,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,0,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Huntington Beach,Main St,,CA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Huntsville,123 North Side Square,,AL,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Idaho Falls,Broadway Bridge,,ID,US,2020-08-22,about 30 people,30,,30,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://www.eastidahonews.com/2020/08/local-group-gathers-in-idaho-falls-to-protest-human-sex-trafficking/,,,,
Indianapolis,Monument Circle,,IN,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Jackson,250 N West St,,MS,US,2020-08-22,count: FB,6,,6,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/690638641487743/,,,
Jacksonville,1015 Museum Cir,,FL,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Jacksonville,St. John's Town Center,,FL,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Joplin,15th and Main,,MO,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Kansas City,Union Station,,MO,US,2020-08-22,,,,,,,general protesters,"against postal service reform, for resignation of Postmaster General Louis DeJoy, against Trump, for voting rights, Save the USPS",1,protest,,,,,1,1,https://www.thepitchkc.com/save-the-usps-rally-saturday-at-union-station/,,,,
Kennewick,,,WA,US,2020-08-22,about 200,200,,200,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://keprtv.com/news/local/saveourchildren-movement-marches-against-pedophilia-exploitation,https://www.tri-cityherald.com/news/local/article245352950.html,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,
Knoxville,1306 N Broadway St,,TN,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Kokomo,117 N Main St,,IN,US,2020-08-22,count: FB,6,,6,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/savethechildren-march-kokomo/759253968209921/,,,
La Grande,Max Square,,OR,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
La Habra,1401 S Harbor Blvd,,CA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Lake Charles,Lake Charles Civic Center,,LA,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://www.kplctv.com/2020/08/17/save-our-children-march-happening-lake-charles/,,,,
Lake Jackson,Walmart,,TX,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Lakeland,Munn Park,,FL,US,2020-08-22,150 people,150,,150,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://www.lkldnow.com/qanon-rally-in-lakeland-was-one-of-nations-largest/,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,
Las Vegas,7th and Bridger,,NV,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Lebanon,Airport and Santiam Hwy,,OR,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Lenexa,Central Green,,KS,US,2020-08-22,,,,,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,,,,
Lihue,"Historic County Building, 4396 Rice St",,HI,US,2020-08-22,count: FB,8,,8,,,general protesters,"against child sex trafficking, #savethechildren",0,march,,,,,1,1,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/freedom-for-the-children-a-glo/898615950649583/,,,
