CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Shelton,Police headquarters,Fairfield,CT,US,2020-06-15,,,,,,,Bridgeport Councilwoman,support of police chief,0,planned protest,0,0,0,0,1,1,https://www.nhregister.com/news/article/Bridgeport-councilwoman-plans-protest-to-support-15339143.php,,,,,,,,,,,,,,,,,,,,,,
Wilmington ,University of North Carolina at Wilmington outdoor amphitheater,New Hanover,NC,US,2020-06-15,about 15,15,,15,,,general protesters,for the firing of UNCW criminology professor Mike Adams,0,protest,0,0,0,0,1,1,https://www.starnewsonline.com/news/20200615/uncw-protest-seeks-collaboration-on-policy-firing-of-mike-adams,,,,,,,,,,,,,,,,,,,,,,
Athens,City Hall,Clarke,GA,US,2020-06-16,,,,,,,general protestors,oppose police budget cuts,2,counterprotest,0,0,0,0,1,1,https://www.redandblack.com/athensnews/opposing-protesters-gather-at-athens-city-hall-to-voice-opinions-on-police-budget-proposal/article_a8605c5a-b0ad-11ea-b934-b30e38e43a7b.html,,,,,,,,,,,,,,,,,,,,,,
Atlanta,state capitol,Fulton ,GA,US,2020-06-16,,,,,,,Coweta FORCE,against state budget cuts,0,rally,0,0,0,0,1,1,https://times-herald.com/news/2020/06/coweta-force-rallies-to-save-funding,,,,,,,,,,,,,,,,,,,,,,
Benton,County Courthouse,Marshall,KY,US,2020-06-16,,,,,,,local residents,support school resource officer program,2,rally,0,0,0,0,1,1,https://www.paducahsun.com/news/a-win-for-our-children-marshall-commission-recommends-sro-funding-after-rally/article_69bf2ed3-beb4-52ee-9947-43bc03c87502.html,,,,,,,,,,,,,,,,,,,,,,
Boston,Little House ALternative School,Suffolk ,MA,US,2020-06-16,more than 50,50,,50,,,general protesters,against layoffs at College Bound Dorchester; against racial injustice,0,protest,0,0,0,0,1,1,https://www.bostonherald.com/2020/06/16/demonstrators-protest-layoffs-at-college-bound-dorchester/,,,,,,,,,,,,,,,,,,,,,,
Fort Lauderdale,Elbo Room,Broward,FL,US,2020-06-16,,,,,,,general protesters,for reopening of businesses amid COVID19 crisis,2,rally,0,0,0,0,1,1,https://wsvn.com/news/local/broward-bar-owners-hold-rally-in-fort-lauderdale-to-reopen-businesses/,,,,,,,,,,,,,,,,,,,,,,
Immokalee,,Collier,FL,US,2020-06-16,,,,,,,Oakes Farms employees,against the loss of jobs,0,counterprotest,0,0,0,0,1,1,https://www.naplesnews.com/picture-gallery/news/local/2020/06/17/protesters-march-down-main-street-during-black-lives-matter-demonstration-immokalee/3198388001/,,,,,,,,,,,,,,,,,,,,,,
Lakewood,,Ocean,NJ,US,2020-06-16,hundreds,200,,200,,,local youth,protest closure of summer camps,2,march,0,0,0,0,1,1,https://www.app.com/story/news/2020/06/16/lakewood-youth-protest-demanding-summer-sleepaway-camps-open-year/3203830001/,,,,,,,,,,,,,,,,,,,,,,
Lansing,state capitol,Ingham,MI,US,2020-06-16,,,,,,,general protesters,for answers from Michigan's Unemployment Insurance Agency,0,protest,0,0,0,0,1,1,https://www.fox17online.com/news/problem-solvers/state-lawmakers-hold-rally-at-capitol-demanding-answers-from-uia,,,,,,,,,,,,,,,,,,,,,,
Lodi,Lodi Unified School District offices,San Joaquin,CA,US,2020-06-16,about 50,50,,50,,,local parents,against distance learning,2,protest,0,0,0,0,1,1,https://www.lodinews.com/news/article_fdd84518-b057-11ea-9e69-6f001adde0da.html,,,,,,,,,,,,,,,,,,,,,,
Louisville,Central Park,,KY,US,2020-06-16,hundreds,200,,200,,,current and retired LMPD officers,pro-police; in support of law enforcement,2,rally,0,0,0,0,1,1,https://www.wdrb.com/news/downtown-looks-like-a-war-zone-current-retired-lmpd-officers-call-for-change/article_a060561c-afe1-11ea-abc5-d301b4e48a00.html,,,,,,,,,,,,,,,,,,,,,,
Missoula,Sacajewea Park to the Badlanders,Missoula,MT,US,2020-06-16,several hundred,200,,200,,,general protestors,raise awareness for murdered and missing indigenous women,0,march,0,0,0,0,1,1,https://helenair.com/news/state-and-regional/watch-this-hundreds-march-missoula-for-jermain-charlo/article_a16e9db8-dc37-5627-bd37-7c16df784167.html,https://missoulian.com/news/local/watch-this-hundreds-march-missoula-for-jermain-charlo/article_99e8d20b-cc95-508a-bea7-d3242d39e3b9.html,,,,,,,,,,,,,,,,,,,,,
Oneida,State Police Troop D Headquarters,Oneida,NY ,US,2020-06-16,about 15,15,,15,,,general protesters,pro-police,0,rally,0,0,0,0,1,1,https://www.localsyr.com/news/local-news/peaceful-demonstration-happening-in-front-of-troop-d-in-oneida/,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,the Christopher Columbus statue at Marconi Plaza in South Philadelphia,Philadelphia,PA,US,2020-06-16,,,,,,,general protesters,pro-police,0,rally,0,0,0,0,1,1,https://6abc.com/community-events/pro-police-rally-held-at-columbus-statue-in-south-philadelphia/6250144/,,,,,,,,,,,,,,,,,,,,,,
Phillips ,Price Co. Courthouse,Price,WI,US,2020-06-16,dozens,24,,24,,,general protesters,against COVID-19 ordinance that allows county more authority,1,protest,0,0,0,0,1,1,https://waow.com/2020/06/16/price-county-residents-protest-covid-19-ordinance/,,,,,,,,,,,,,,,,,,,,,,
Santa Maria,City Hall,Santa Barabara,CA ,US,2020-06-16,,,,,,,local protestors,protest delayed reopening of local pool,0,protest,0,0,0,0,1,1,https://santamariatimes.com/news/local/demonstrators-rally-at-santa-maria-city-hall-over-pool-police-concerns/article_7493cf44-a498-5323-9e55-66c0ceafb094.html,,,,,,,,,,,,,,,,,,,,,,
Santa Maria,City Hall,Santa Barabara,CA ,US,2020-06-16,,,,,,,local protestors,support the local police,2,counterprotest,0,0,0,0,0,1,https://santamariatimes.com/news/local/demonstrators-rally-at-santa-maria-city-hall-over-pool-police-concerns/article_7493cf44-a498-5323-9e55-66c0ceafb094.html,,,,,,,,,,,,,,,,,,,,,,
virtual,,,,,2020-06-16,more than 100,100,,100,,,PennEnvironment,for climate change action,1,virtual protest,0,0,0,0,1,1,https://www.pennlive.com/news/2020/06/advocates-push-for-pa-to-take-action-on-climate-change-in-a-virtual-rally.html,,,,,,,,,,,,,,,,,,,,,,
Walhalla,Main Street,Oconee,SC,US,2020-06-16,,,,,,,general protestors,pro Confederate statue,2,counterprotest,0,0,0,0,1,1,https://www.thetelegraph.com/news/article/Both-sides-of-Confederate-monument-protest-come-15345423.php,,,,,,,,,,,,,,,,,,,,,,
Albany,Pine Ave. and Slappey Boulevard,Dougherty,GA,US,2020-06-17,count pic,5,,5,,,local businesspeople,pro unity and support for city of Albany,0,rally,0,0,0,0,1,1,https://www.albanyherald.com/news/group-forms-spontaneous-love-albany-demonstration/article_90be041e-b0c4-11ea-8b03-d3f64d7af57e.html,,,,,,,,,,,,,,,,,,,,,,
Amherst,UMass Amherst,Hampshire,MA,US,2020-06-17,over 100,100,,100,,,UMass faculty and students,oppose layoffs for upcoming school year,0,caravan,0,0,0,0,1,1,https://www.gazettenet.com/CaravanProtest-hg-061820-34801913,,,,,,,,,,,,,,,,,,,,,,
Baltimore,Department of Labor building,Baltimore,MD,US,2020-06-17,na,12,,12,,,unemployed community members,seek relief after becoming unemployed during pandemic,0,protest,0,0,0,0,1,1,https://www.wbaltv.com/article/unemployed-maryland-workers-protest/32893678,,,,,,,,,,,,,,,,,,,,,,
Boston,"Centre St., West Roxbury",Suffolk,MA,US,2020-06-17,hundreds,200,,200,,,general protestors,Blue Lives Matter; against Black Lives Matter protestors,2,protest,0,0,0,0,1,1,https://www.bostonglobe.com/2020/06/17/metro/dueling-protests-west-roxbury-between-police-supporters-critics/,https://www.bostonherald.com/2020/06/17/dueling-black-lives-matter-pro-police-rallies-take-place-in-boston/,,,,,,,,,,,,,,,,,,,,,
Burlington,Police Department,Middlesex,MA,US,2020-06-17,more than 100,100,,100,,,local residents,support police officers,2,rally,0,0,0,0,1,1,https://whdh.com/news/over-100-people-rally-to-support-first-responders-in-burlington/,,,,,,,,,,,,,,,,,,,,,,
Charlotte,Ardrey Kell High School,,NC,US,2020-06-17,roughly 200,200,,200,,,general protesters,in support of school official; against firing of principal,0,protest,0,0,0,0,1,1,https://www.charlotteobserver.com/news/local/education/article243603797.html,,,,,,,,,,,,,,,,,,,,,,
Eugene,4J District Administration Building,,OR,US,2020-06-17,,,,,,,general protesters,public schools; for removal of police officers in schools,0,protest,0,0,0,0,1,1,https://www.registerguard.com/picture-gallery/news/2020/06/18/while-4j-school-board-meets-virtually-protesters-take-to-the-streets/112809426/,,,,,,,,,,,,,,,,,,,,,,
Eugene,along West 11th Ave at Seneca Rd,,OR,US,2020-06-17,approximately 20,20,,20,,,general protesters,public schools; against removal of police officers in schools,0,protest,0,0,0,0,0,1,https://www.registerguard.com/picture-gallery/news/2020/06/18/while-4j-school-board-meets-virtually-protesters-take-to-the-streets/112809426/,,,,,,,,,,,,,,,,,,,,,,
Hallettsville,,,TX,US,2020-06-17,,,,,,,general protesters,for animal rights,0,protest,0,0,0,0,1,1,https://www.victoriaadvocate.com/premium/activist-resident-cited-by-police-during-hallettsville-animal-rights-protest/article_15094f48-b0da-11ea-8a4d-979c963a4375.html,,,,,,,,,,,,,,,,,,,,,,
Howell,historic courthouse to Livingston County Democratic Party's office,Livingston,MI,US,2020-06-17,na,1,,1,,,local man,support Gov. Whitmer's pandemic resposne,1,march,0,0,0,0,1,1,https://www.livingstondaily.com/story/news/local/community/livingston-county/2020/06/17/man-86-walk-howell-brighton-support-whitmer/3207599001/,,,,,,,,,,,,,,,,,,,,,,
Larkspur,Ferry Building,,CA,US,2020-06-17,,,,,,,general protestors,anti colonization; protest statue of Sir Francis Drake,1,protest,,,,,1,1,https://www.instagram.com/p/CBWXJzEByhu/,,,,,,,,,,,,,,,,,,,,,,
Napa,3rd St Bridge,,CA,US,2020-06-17,,,,,,,general protestors,pro-police; in support of law enforcement,2,rally,0,0,0,0,1,1,https://napavalleyregister.com/news/local/after-string-of-napa-protests-against-police-brutality-we-back-blue-rally-supports-law-enforcement/article_8792fdf9-bdb0-52e8-827e-5b3d14c42901.html,,,,,,,,,,,,,,,,,,,,,,
New Orleans,Civil district court,Orleans,LA,US,2020-06-17,,,,,,,Trans organizers,Defend trans lives,1,planned protest,0,0,0,0,1,1,http://www.fightbacknews.org/2020/6/14/new-orleans-community-organizers-prepare-rally-defend-trans-lives,,,,,,,,,,,,,,,,,,,,,,
New York,Astoria Blvd; Astoria Park War Memorial,Queens,NY,US,2020-06-17,more than 100,100,,100,,,Justice for George,for removal of Columbus statue,0,march; protest,0,0,0,0,1,1,https://qns.com/2020/06/hundreds-protest-for-the-removal-of-christopher-columbus-statue-on-astoria-boulevard/,,,,,,,,,,,,,,,,,,,,,,
Providence,Statehouse,Providence,RI,US,2020-06-17,,,,,,,parents and teachers,protest budget cuts to Central Falls Schools,0,protest,0,0,0,0,1,1,https://www.abc6.com/members-of-central-falls-community-hold-rally-at-state-house-for-equal-school-funding/,,,,,,,,,,,,,,,,,,,,,,
Reading,BARTA Headquarters,,PA,US,2020-06-17,more than 20,20,,20,,,BARTA bus drivers,protesting working conditions; collective bargaining,0,protest,0,0,0,0,1,1,https://www.readingeagle.com/coronavirus/barta-bus-drivers-rally-for-safer-conditions-and-hazard-pay/article_d1476122-b18e-11ea-8aa1-9fe371bb508f.html,,,,,,,,,,,,,,,,,,,,,,
Springfield,Capitol,Sangamon,IL,US,2020-06-17,dozens,24,,24,,,charter bus drivers,raise awareness for impact of Covid-19 on bus drivers,0,bus caravan,0,0,0,0,1,1,https://www.wcia.com/health/coronavirus/charter-coach-buses-rally-at-capitol/,,,,,,,,,,,,,,,,,,,,,,
Trenton,Statehouse,Mercer,NJ,US,2020-06-17,,,,,,,Make the Road New Jersey,seek economic relief for undocumented workers during pandemic,1,protest,0,0,0,0,1,1,https://www.thedailyjournal.com/story/news/new-jersey/2020/06/17/coronavirus-nj-protesters-demand-relief-undocumented-immigrants/3206647001/,,,,,,,,,,,,,,,,,,,,,,
Altoona ,,,PA,US,2020-06-18,,,,,,,Patton Fireworks Committee; Slovak Club,in support of fireworks tradition,0,rally,0,0,0,0,1,1,https://www.altoonamirror.com/news/local-news/2020/06/patton-rallies-for-fireworks/,,,,,,,,,,,,,,,,,,,,,,
Anchorage,outside police headquarters,Anchorage,AK ,US,2020-06-18,over 100,100,,100,,,general protesters,in support of law enforcement,2,rally,0,0,0,0,1,1,https://www.adn.com/alaska-news/anchorage/2020/06/18/over-100-supporters-rally-for-anchorage-police/,,,,,,,,,,,,,,,,,,,,,,
Buffalo,Courthouse,,NY,US,2020-06-18,hundreds,200,,200,,,general protesters,in support of punished police officers; pro-police,2,protest,0,0,0,0,1,1,https://www.foxnews.com/politics/police-rally-behind-their-own-scrutiny,https://video.foxnews.com/v/6165393832001#sp=show-clips,,,,,,,,,,,,,,,,,,,,,
Burlington,Echo Lake Foods,Racine,WI,US,2020-06-18,,,,,,,general protesters,coronavirus; worker protections; against xenophopic comment of public official; calling on official's resignation,0,protest,0,0,0,0,1,1,https://www.wisn.com/article/breakfast-food-plant-workers-protest-for-better-protection-from-coronavirus/32910774#,,,,,,,,,,,,,,,,,,,,,,
Estes Park,,,CO,US,2020-06-18,,,,,,,Estes Valley Crisis Advocates,pro- LGBTQ rights; Pride Month,0,rally,,,,,1,1,https://www.eptrail.com/2020/06/17/black-lives-matter-march-this-saturday-in-estes-park/,,,,,,,,,,,,,,,,,,,,,,
Kaneohe,Kuloa Ranch,Honolulu,HI,US,2020-06-18,about 30,30,,30,,,general protesters,pollution; cultural preservation; against spilling of sewage,0,protest,0,0,0,0,1,1,https://www.hawaiinewsnow.com/2020/06/18/dozens-peacefully-protesting-windward-oahu-over-construction-project/,,,,,,,,,,,,,,,,,,,,,,
Kinderhook,Village Square,Columbia,NY,US,2020-06-18,about 40,40,,40,,,general protesters,pro-police; in support of law enforcement,2,rally,0,0,0,0,1,1,https://www.hudsonvalley360.com/news/columbiacounty/opposing-rallies-occupy-kinderhook-square/article_04525dbe-1dcd-53b7-b7a1-4f254ec16c16.html,,,,,,,,,,,,,,,,,,,,,,
Lansing,the Michigan State Capitol ,Ingham ,MI,US,2020-06-18,,,,,,,Michigan Militia of Love ,pro gun rights,2,protest,0,0,0,0,1,1,https://www.lansingstatejournal.com/picture-gallery/news/local/2020/06/19/two-rallies-intersect-thursday-evening-at-the-capitol/3216591001/,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,,Clark,NV,US,2020-06-18,,,,,,,public defenders,for release of arrested protest attendees,0,protest,0,0,0,0,1,1,https://www.reviewjournal.com/crime/legal-observers-arrested-at-las-vegas-protest-dispute-sheriffs-claims-2055855/,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,West Hills Hospital,Los Angeles,CA,US,2020-06-18,,,,,,,West Hills Hospital Nurses,collective bargaining; demanding staffing and PPE,0,protest,0,0,0,0,1,1,https://www.pe.com/2020/06/18/west-hills-hospital-nurses-protest-inadequate-ppe-staff-shortage-during-covid-19-crisis/,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,outside West Hills Hospital,Los Angeles,CA,US,2020-06-18,,,,,,,SEIU 121RN,against inadequate PPE and staff shortages during COVID19 crisis,0,protest,0,0,0,0,1,1,https://www.pasadenastarnews.com/2020/06/18/west-hills-hospital-nurses-protest-inadequate-ppe-staff-shortage-during-covid-19-crisis/,,,,,,,,,,,,,,,,,,,,,,
Norristown,Montgomery Plaza,Montgomery,PA,US,2020-06-18,,,,,,,Pro-Life Coalition of Pennsylvania,in support of County Commisioner; pro-life; anti-BLM,2,protest,0,0,0,0,1,1,https://6abc.com/society/montco-commissioner-becomes-focus-of-dueling-rallies/6254247/,,,,,,,,,,,,,,,,,,,,,,
Olathe,Board of Education,,KS,US,2020-06-18,,,,,,,general protesters,promoting change of school policy; for protecting students,0,rally,0,0,0,0,1,1,https://fox4kc.com/news/olathe-community-rallies-outside-school-district-building-after-former-teacher-charged/,,,,,,,,,,,,,,,,,,,,,,
Oxnard,Transit Center,,CA,US,2020-06-18,,,,,,,CAUSE,in support of DACA,1,car rally,0,0,0,0,1,1,https://www.vcstar.com/picture-gallery/news/local/2020/06/18/see-daca-supporters-rally-oxnard-transit-center/3217913001/,,,,,,,,,,,,,,,,,,,,,,
Pilot Point,historic square,Denton,TX,US,2020-06-18,,,,,,,general protesters,against BLM protest,2,counter-protest,2,0,0,0,1,1,https://dentonrc.com/news/pilot_point/counterprotesters-detained-thursday-at-march-in-pilot-point/article_37c9bb5a-ce0e-588a-b17c-cfd1756cac12.html,,,,,,,,,,,,,,,,,,,,,,
Pomona,Pomona City Hall,Los Angeles,CA,US,2020-06-18,more than two dozen,24,,24,,,the Latino and Latina Roundtable of the San Gabriel and Pomona Valley,in support of the Supreme Court's ruling against Trump's attempt to end Deferred Action for Childhood Arrivals,1,rally,0,0,0,0,1,1,https://www.sgvtribune.com/2020/06/18/daca-supporters-rally-in-pomona-to-cheer-supreme-court-ruling/,,,,,,,,,,,,,,,,,,,,,,
Pompano Beach,school campus to City Hall,,FL,US,2020-06-18,about 80,80,,80,,,Youth Under Construction,coronavirus; against district protocol; for public safety,0,march,0,0,0,0,1,1,https://wsvn.com/news/local/broward/pompano-beach-child-care-center-director-students-hold-march-after-city-issues-citations/,,,,,,,,,,,,,,,,,,,,,,
Rochester,home of GOP Assembly Speaker,Racine,WI,US,2020-06-18,count pic,4,,4,,,general protesters,coronavirus; against xenophopic comment of public official; calling on official's resignation,0,protest,0,0,0,0,1,1,https://www.jsonline.com/story/news/local/2020/06/18/protesters-go-assembly-speaker-robin-vos-home-lay-wreath/3216713001/,,,,,,,,,,,,,,,,,,,,,,
Salinas,City Hall,,CA,US,2020-06-18,video; about twenty,20,,20,,,police supporters,funding the police; supporting the police,0,rakky,0,0,0,0,1,1,https://kion546.com/news/2020/06/19/salinas-rally-held-in-support-of-law-enforcement/,,,,0,,,,,,,,,,,,,,,,,,
Salinas,City Hall,Monterey,CA,US,2020-06-18,,,,,,,general protesters,pro-law enforcement,2,rally,0,0,0,0,1,1,https://www.thecalifornian.com/story/news/2020/06/19/protesters-gather-outside-salinas-city-hall-oppose-cuts-police/3208077001/,,,,,,,,,,,,,,,,,,,,,,
San Francisco,Federal Courthouse to site of Historic Compton's Cafeteria Riot,,CA,US,2020-06-18,,,,,,,"Trans organizers, allies",pro trans rights,1,protest,,,,,1,1,https://www.instagram.com/p/CBd40f9FyR-/,,,,,,,,,,,,,,,,,,,,,,
Santa Fe,Santa Fe Plaza,,NM,US,2020-06-18,several hundred,200,,200,,,general protesters,indigenous rights; for removal of controversial statue,0,protest,0,0,0,0,1,1,https://www.santafenewmexican.com/news/local_news/plaza-demonstration-embraces-reconciliation-as-city-moves-to-remove-controversial-monuments/article_8015b0f8-b1aa-11ea-9a70-4f2a1eb3bd38.html,,,,,,,,,,,,,,,,,,,,,,
Union,the Union Township Municipal Lot,Union,NJ,US,2020-06-18,,,,,,,general protesters,against decision to cut several programs and lay offs,0,protest,,,,,1,1,https://www.mycentraljersey.com/story/news/education/college/2020/06/16/kean-university-students-faculty-protest-academic-program-cuts/3197913001/,Future. ,,,,,,,,,,,,,,,,,,,,,
Wilson ,Easton Hospital,,PA,US,2020-06-18,,,,,,,Easton Hospital workers and union representatives,against disbanding of union,0,protest,0,0,0,0,1,1,https://www.mcall.com/health/mc-hea-stlukes-replaces-easton-nurses-20200618-rd5ogbcigvcbjmeikmlknlqdzq-story.html,,,,,,,,,,,,,,,,,,,,,,
Athena,Ohio University's college green,,OH,US,2020-06-19,few dozen,24,,24,,,activists; general protesters,celebration of LGBTQ pride; Black Lives Matter,1,rally,0,0,0,0,1,1,https://www.athensnews.com/news/local/activists-celebrate-pride-advocate-police-reform-at-rally/article_302c308b-2f8a-5666-b857-80ca528831ca.html,,,,,,,,,,,,,,,,,,,,,,
Aurora,,,CO,US,2020-06-19,some parents and students,10,,10,,,Aurora Public School parents,"""back to the classroom"" movement; protesters called for full-day, in-person school when classes resume",0,protest,0,0,0,0,1,1,https://denver.cbslocal.com/2020/06/19/coronavirus-aurora-public-schools-class-student/,,,,,,,,,,,,,,,,,,,,,,
Farmington,Animas Valley Mall,,NM,US,2020-06-19,,,,,,,general protestors,counter protest of BLM protest; support law enforcement,2,counter-protest,0,0,0,0,1,1,https://www.daily-times.com/story/news/local/2020/06/20/back-blue-rally-mall-supports-police-amid-calls-more-accountability/3227379001/,,,,0,,,,,,,,,,,,,,,,,,
Gainesville,City Hall,Alachua,FL,US,2020-06-19,more than 300,300,,300,,,The Gainesville Alliance for Equitable Development ,against a development plan for Seminary Lane's vacant plot,0,protest,0,0,0,0,1,1,https://www.alligator.org/news/hundreds-protest-potential-development-on-former-seminary-lane-plot/article_534e122c-b240-11ea-b47b-4f0c9fb50dc3.html,,,,,,,,,,,,,,,,,,,,,,
Gulfport,Gulfport monument,,MS,US,2020-06-19,about two dozen,24,,24,,,Sons of Confederate Veterans,prevent others from trying to tear down the Confederate statue,2,protest,0,0,0,0,1,1,https://www.sunherald.com/news/local/article243676842.html,,,,0,,,,,,,,,,,,,,,,,,
Memphis,downtown Memphis; National Civil Rights Museum,,TN,US,2020-06-19,,,,,,,family members; protestors,release of Curtis McDonald,0,march,0,0,0,0,1,1,https://www.localmemphis.com/article/news/local/march-calls-for-release-of-codefendant-in-alice-marie-johnson-case/522-ee14bedd-b876-42a4-ac19-f738ac26b5ad,,,,0,,,,,,,,,,,,,,,,,,
Mishawaka,Mishawaka Avenue tp Central Park,,IN,US,2020-06-19,a group of five or six,5,,6,,,All Lives Matter protesters,All Lives Matter,2,counterprotest,0,0,0,0,1,1,https://www.southbendtribune.com/news/local/juneteenth-brings-intense-march-to-mishawaka-streets/article_46d5b0e6-b262-11ea-99f2-0b4a22a499dc.html,,,,0,,,,,,,,,,,,,,,,,,
Nancy,Mill Springs Battlefield Museum,,KY,US,2020-06-19,citizens,2,,2,,,armed citizens,protect statues,0,counterprotest,0,,,,1,1,https://www.newsbreak.com/kentucky/nancy/news/1587319415767/armed-citizens-at-nancy-to-protect-monuments-ksp-no-credible-intel-on-outside-protesters,,,,,,,,,,,,,,,,,,,,,,
Olympia,outside the Capitol,,WA,US,2020-06-19,count video,7,,7,,,family members,lack of Covid testing for prison inmates,0,protest,0,0,0,0,1,1,https://www.q13fox.com/news/family-members-protest-for-rights-of-prisoners-in-washington,,,,0,,,,,,,,,,,,,,,,,,
Portsmouth,,,VA,US,2020-06-19,,,,,,,general protestors,in support of State Senator  L. Louise Lucas after Confederate statue accident rumors,0,rally,0,0,0,0,1,1,https://www.13newsnow.com/article/news/local/mycity/portsmouth/senators-team-speaking-out-against-portsmouth-confederate-statue-accident-rumors/291-9aa70ca8-6b03-4987-9a22-6f7467042742,,,,0,,,,,,,,,,,,,,,,,,
Raleigh,,,NC,US,2020-06-19,one woman,1,,1,,,furloughed healthcare worker,lack of unemployment support,0,protest,0,0,0,0,1,1,https://www.heraldsun.com/news/state/north-carolina/article243673532.html,https://www.heraldonline.com/news/state/north-carolina/article243673532.html,,,,,,,,,,,,,,,,,,,,,
Raleigh,,Wake,NC,US,2020-06-19,1,1,,1,,,general protesters,for unemployment action,0,protest,0,0,0,0,1,1,https://www.newsobserver.com/news/article243673532.html,,,,,,,,,,,,,,,,,,,,,,
Tallahasee,Florida State College of Medicine to Lake Anita off FAMU Way,,FL,US,2020-06-19,dozens,24,,24,,,health professionals; police; students,antiracism; support of police,0,rally; march,0,0,0,0,1,1,https://www.wctv.tv/2020/06/20/strength-in-unity-rally-brings-white-coats-blue-badges-together-for-a-call-to-action/,,,Event was both against racism and supporting good police,,,,,,,,,,,,,,,,,,,
Texarkana,near a downtown Confederate monument,Bowie,TX,US,2020-06-19,,,,,,,general protesters,against removal of Confederate monument,0,counter-protest,0,0,0,0,1,1,https://www.texarkanagazette.com/protest/,,,,,,,,,,,,,,,,,,,,,,
Tulsa,Greenwood Cultural Center to Page Belcher Federal Building,,OK,US,2020-06-19,more than a hundred,100,,100,,,Opportunities Matter Lawsuit; small business owners,lack of appropriate Covid-aid to samll business owners,0,rally; march,0,0,0,0,1,1,https://tulsaworld.com/news/local/it-s-a-massacre-of-minority-businesses-activists-rally-for-march-in-tulsa-file-150/article_c8b9cb22-571f-5ef3-aef5-b28c123f5890.html,,,,0,,,,,,,,,,,,,,,,,,
Vallejo,,,CA,US,2020-06-19,some 55,55,,55,,,general protestors,unspecified,0,protest,3,0,1,0,1,1,https://www.dailyrepublic.com/all-dr-news/solano-news/crime-solano-county-courts/police-arrest-3-after-protest-shuts-wb-i-80-on-carquinez-bridge/,,,,,,,,,,,,,,,,,,,,,,
Wichita,,Sedgwick,KS,US,2020-06-19,,,,,,,the Sunflower Community Action Center; Kansas DREAMers,in support of the DACA program ,1,rally,0,0,0,0,1,1,https://www.kake.com/story/42270051/dreamers-rally-after-supreme-court-decision-to-uphold-daca-program,,,,,,,,,,,,,,,,,,,,,,
Alpena,Chisholm Street,,MI,US,2020-06-20,about 50,50,,50,,,general protesters,promoting gay rights and protesting texts sent by Terry King,0,march,0,0,0,0,1,1,https://www.thealpenanews.com/news/local-news/2020/06/dozens-protest-in-alpena-in-response-to-king-texts/,,,,0,,,,,,,,,,,,,,,,,,
Amesbury,,Essex,MA,US,2020-06-20,,,,,,,Trump supporters,support of police chief,2,,0,0,0,0,1,1,https://www.bostonglobe.com/2020/06/20/metro/all-lives-matter-black-lives-need-matter-well/,,,,,,,,,,,,,,,,,,,,,,
Belleville,East Main Street; Public Square,,FL,US,2020-06-20,50 to 75,50,,75,,,general protesters,Black Lives Matter; antiracism,1,march,0,0,0,0,1,1,https://www.bnd.com/news/local/crime/article243719222.html,,,,,,,,,,,,,,,,,,,,,,
"Bradenton, FL",Manatee County Courthouse ,,FL,US,2020-06-20,,,,,,,general protestors,immigrant rights,1,rally,,,,,,1,https://www.sixnineteen.com/,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson Street,,NV,US,2020-06-20,approximately 15,15,,15,,,general protestors,All Lives Matter,2,protest,0,0,0,0,1,1,https://www.kolotv.com/2020/06/20/black-lives-matter-protest-closes-carson-street/,,,,0,,,,,,,,,,,,,,,,,,
Concord,State House,,NH,US,2020-06-20,dozens,24,,24,,,Republican lawmakers,law enforcement appreciation,0,rally,0,0,0,0,1,1,https://www.wmur.com/article/dozens-attend-rally-at-state-house-in-support-of-law-enforcement/32923698#,https://manchesterinklink.com/june-20-appreciation-rally-for-nh-law-enforcement-in-front-of-state-house/,https://www.concordmonitor.com/Stating-their-case-Cops-lives-matter-too-34851690,,0,,,,,,,,,,,,,,,,,,
Concord,State house,Merrimack ,NH,US,2020-06-20,,,,,,,general protesters,in support of law enforcement,2,rally,,,,,1,1,https://www.concordmonitor.com/Appreciation-Rally-Hosted-for-NH-Police-34848453,,,,,,,,,,,,,,,,,,,,,,
Duluth,the replica of the Statue of Liberty near the Duluth Entertainment Convention Center,St. Louis,MN,US,2020-06-20,,,,,,,The Interfaith Committee for Migrant Justice,in support of migrants,1,rally,,,,,1,1,https://www.duluthnewstribune.com/lifestyle/faith/6537028-Duluths-Interfaith-Committee-for-Migrant-Justice-to-rally-Saturday-for-unity,,,,,,,,,,,,,,,,,,,,,,
Gadsden,Gadsden’s City Hall ,,AL,US,2020-06-20,more than 50 people,50,,50,,,general protestors,supporting monuments; law enforcement,0,rally,0,0,0,0,1,1,https://www.gadsdentimes.com/story/news/local/2020/06/20/group-rallies-in-favor-of-emma-sansom-monument/112806152/,,,,0,,,,,,,,,,,,,,,,,,
