CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Ontario,,Richland,OH,US,2020-06-05,,,,,,,general protester,oppose BLM,2,counter-protest,0,0,0,0,0,1,https://www.mansfieldnewsjournal.com/story/news/2020/06/05/ontario-ohio-protest-friday-peaceful-police-chief-says/3151863001/,,,,,,,,,,,,,,,,,,,,,,
St. George,St George Blvd and 200 East,Washington ,UT,US,2020-06-05,around 40,40,,40,,,general protester,in support of police officers,2,protest,,,,,1,1,https://www.stgeorgeutah.com/news/archive/2020/06/05/cdr-all-lives-matter-holds-counter-protest-on-st-george-boulevard/#.Xua6di2ZOqA,,,,,,,,,,,,,,,,,,,,,,
Altamahaw,Ace Speedway,Alamance,NC,US,2020-06-06,more than 2000,2000,,2000,,,general protester,against business closures; for reopening; coronavirus,0,rally; race,0,0,0,0,1,1,https://myfox8.com/news/ace-speedway-holds-protest-race-with-more-than-800-tickets-sold-despite-governors-rebuke/,https://www.wwaytv3.com/2020/06/08/car-race-draws-thousands-after-dubbing-itself-a-protest/,,,,,,,,,,,,,,,,,,,,,
Bourne,Bourne Rotary,Barnstable,MA,US,2020-06-06,pic count,5,,10,,,general protesters,pro-law enforcement,2,rally,0,0,0,0,1,1,https://www.capecodtimes.com/photogallery/CC/20200606/PHOTOGALLERY/606009999/PH/1,,,,,,,,,,,,,,,,,,,,,,
Carson City,near Nevada Legislature,Carson City,NV,US,2020-06-06,about 60 to 75,60,,75,,,general protesters,"multiple issues mixed together; Black Lives Matter; pro-gun rights; end any COVID-19 related quarantines; pro-law 
enforcement ",0,protest,0,0,0,0,1,1,https://www.kolotv.com/content/news/Peaceful-demonstrations-in-Carson-City-571074981.html,,,,,,,,,,,,,,,,,,,,,,
Carson City,,Carson City,NV,US,2020-06-06,,,,,,,general protesters,in support of police officers,2,rally,,,,,0,1,https://www.rgj.com/picture-gallery/news/2020/06/06/carson-city-rally-law-enforcement/3165587001/,,,,,,,,,,,,,,,,,,,,,,
Carson City ,downtown; Nevada Legislature Building,Carson City ,NV,US,2020-06-06,about 100,100,,100,,,general protesters,in support of law enforcement,0,rally,0,0,0,0,1,1,https://www.rgj.com/story/news/2020/06/06/rally-shows-support-law-enforcement-officers-saturday-carson-city/3166125001/,,,,,,,,,,,,,,,,,,,,,,
Charlotte,park,Mecklenburg,NC,US,2020-06-06,hundreds,200,,200,,,Youth United,in support of police officers,2,rally,0,0,0,0,1,1,https://www.wcnc.com/article/news/local/protests/one-arrested-after-9th-day-of-protest-in-charlotte-saturday/275-134ec740-3fe1-4c30-a77c-4cadd470a216,,,,,,,,,,,,,,,,,,,,,,
Charlotte,streets of downtown,Mecklenburg,NC,US,2020-06-06,several hundred,200,,200,,,general protesters,in support of police officers,2,protest march,1,0,0,0,1,1,https://www.wcnc.com/article/news/local/protests/one-arrested-after-9th-day-of-protest-in-charlotte-saturday/275-134ec740-3fe1-4c30-a77c-4cadd470a216,,,9th day of protests,,,,,,,,,,,,,,,,,,,
Charlotte,UVCC,Mecklenburg,NC,US,2020-06-06,hundreds,200,,200,,,general protesters,in support of police officers,2,march,0,0,0,0,0,1,https://www.wcnc.com/article/news/local/protests/one-arrested-after-9th-day-of-protest-in-charlotte-saturday/275-134ec740-3fe1-4c30-a77c-4cadd470a216,,,,,,,,,,,,,,,,,,,,,,
Charlotte,outside police dept.,Mecklenburg,NC,US,2020-06-06,two dozen,24,,24,,,Mothers of Black Sons,in support of police officers,2,"rally, march",0,0,0,0,0,1,https://www.wcnc.com/article/news/local/protests/one-arrested-after-9th-day-of-protest-in-charlotte-saturday/275-134ec740-3fe1-4c30-a77c-4cadd470a216,,,,,,,,,,,,,,,,,,,,,,
Concord,NH State House,Merrimack ,NH,US,2020-06-06,8,8,,8,,,general protesters,opposing BLM; All Lives Matter; counter protest,2,protest,0,0,0,0,0,1,https://www.unionleader.com/news/social_issues/concord-march-draws-1-000/article_9dbee625-c9ba-59b8-a857-2db8a15739f6.html?block_id=664693,,,,,,,,,,,,,,,,,,,,,,
Cookeville,Putnam County Justice Center,Putnam ,TN,US,2020-06-06,a group,,,,,,general protesters,,0,protest,1,,,,0,1,"http://herald-citizen.com/stories/youth-speak-for-change,42550",,,,,,,,,,,,,,,,,,,,,,
Crown Point,bike trail near downtown,,IN,US,2020-06-06,21,21,,21,,,general protesters,opposing BLM ,2,counterprotest,0,0,0,0,1,1,https://www.khou.com/article/news/nation-world/armed-bystanders-indiana-crown-point-george-floyd-protests/507-6ec4f916-e6c9-4f59-83d2-76883f5efea2,,,,,,,,,,,,,,,,,,,,,,
Delhi,Courthouse Square,Delaware,NY,US,2020-06-06,1,1,,1,,,general protesters,oppose BLM,0,counter-protest,0,0,0,0,1,1,https://therivernewsroom.com/at-the-black-lives-matter-protests-in-the-hudson-valley/,,,,,,,,,,,,,,,,,,,,,,
Fall River,North Main Street at the Airport Road rotary,Bristol ,MA,US,2020-06-06,dozens,24,,24,,,general protesters,in support of Trump supporter allegedly attacked,2,protest,0,0,0,0,1,1,https://www.heraldnews.com/news/20200606/support-rally-held-for-fall-river-man-who-was-assaulted-while-holding-trump-sign,,,,,,,,,,,,,,,,,,,,,,
Florence,outside of the courthouse,Lauderdale,AL,US,2020-06-06,,,,,,,Project Say Something,for the removal of a Confederate monument,0,protest,,,,,1,1,https://whnt.com/news/shoals/project-say-something-plans-protest-calling-for-the-removal-of-confederate-monument-in-florence/,,,,,,,,,,,,,,,,,,,,,,
Georgetown,County Courthouse,Williamson,TX,US,2020-06-06,20,20,,20,,,armed militia members,oppose BLM,2,counter-protest,0,0,0,0,1,1,https://www.statesman.com/news/20200608/officer-georgetown-police-did-not-invite-militia-to-protest-saturday,,,,,,,,,,,,,,,,,,,,,,
Hampton,Hampton Beach,Rockingham ,NH,US,2020-06-06,,,,,,,general protesters,against COVID19 policy prohibiting sunbathing or sitting on state beaches,0,protest,,,,,1,1,https://manchesterinklink.com/reopennh-plans-hampton-beach-rally-to-protest-no-sunbathing-rule/,,,,,,,,,,,,,,,,,,,,,,
Hartford,Bushnell Park side of Capitol,Hartford,CT,US,2020-06-06,,,,,,,general protesters,re-open businesses,2,protest,0,0,0,0,1,1,https://www.courant.com/news/connecticut/hc-news-connecticut-george-floyd-protests-20200606-iboxmhx7pvgqzcnztwop236jhm-story.html#nt=oft-Triple%20Chain~Recommender~home-double-rec~connecticut-rec~~6~yes-art~automated~curatedpage,,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,Huntington Beach Pier,Orange,CA,US,2020-06-06,,,,,,,counter protester,in support of police officers,0,protest,,,,,0,1,https://www.ocregister.com/2020/06/06/crowd-protesting-police-brutality-met-by-counter-protesters-near-huntington-beach-pier/,,,,,,,,,,,,,,,,,,,,,,
Lewiston,Brackenbury Square,,ID,US,2020-06-06,,,,,,,general protesters,against Black Lives Matter protest,2,counter-protest,,,,,1,1,https://lmtribune.com/northwest/prosecutor-armed-protesters-were-likely-within-bounds/article_edbe19bd-843d-5fb2-8e85-224a927164fe.html,,,,,,,,,,,,,,,,,,,,,,
McAllen,City Hall,Hidalgo,TX,US,2020-06-06,1,1,,1,,,counter protester,opposing BLM,2,counter protest,1,0,0,0,0,1,https://myfox8.com/news/south-texas-chainsaw-man-denounced-at-black-lives-matter-rally/,,,,,,,,,,,,,,,,,,,,,,
Midland,,Klamath,OR,US,2020-06-06,hundreds,200,,200,,,general protesters,opposing irrigation shutoffs,0,tractor rally,0,0,0,0,1,1,https://kearneyhub.com/news/agriculture/latest/southern-oregon-farmers-rally-against-irrigation-shutoffs/article_f07b7e85-c9fe-51bb-a8dc-2e57f413fb81.html,,,,,,,,,,,,,,,,,,,,,,
Newton,Newton Green,Sussex,NJ,US,2020-06-06,small,,,,,,general protesters,oppose BLM,0,protest,,,,,0,1,https://www.northjersey.com/story/news/local/2020/06/06/sussex-county-nj-black-lives-matter-protests-george-floyd/3166880001/,,,,,,,,,,,,,,,,,,,,,,
Odessa,,Ector,TX,US,2020-06-06,150,,,,,,general protesters,2nd amendment,0,rally,,,,,1,1,https://www.oaoa.com/news/local/article_29f3417a-a84c-11ea-b1f3-233b6c16823a.html,,,,,,,,,,,,,,,,,,,,,,
Odessa,Big Daddy Zanes,Ector,TX,US,2020-06-06,,,,,,,general protesters,for gun rights,0,protest,0,0,0,0,1,1,https://www.mrt.com/news/slideshow/Scenes-from-the-Open-Carry-Texas-protest-in-Odessa-203379.php,,,,,,,,,,,,,,,,,,,,,,
Raleigh,,Wake,NC,US,2020-06-06,1,1,,1,,,general protesters,opposing BLM ,0,march,,,,,0,1,https://www.heraldsun.com/news/local/article243334836.html,,,,,,,,,,,,,,,,,,,,,,
Ridgecrest,,Kern,CA,US,2020-06-06,,,,,,,general protesters,pro-Trump,2,counter-protest,0,0,0,0,0,1,https://www.ridgecrestca.com/news/20200606/hundreds-take-part-in-march-for-george-floyd-in-ridgecrest-saturday----now-with-photo-gallery,,,,,,,,,,,,,,,,,,,,,,
Shelby,,Macomb,MI,US,2020-06-06,estimated 500-700,500,,700,,,general protesters,pro-Trump,2,rally; cars and bikes,0,0,0,0,0,1,https://www.freep.com/story/news/local/michigan/2020/06/06/shelby-township-road-rally-support-donald-trump-draws-hundreds/3165421001/,,,,,,,,,,,,,,,,,,,,,,
Sturgis,Oaklawn Park,St. Joseph,MI,US,2020-06-06,about 100,100,,100,,,general protesters,against government overreach during COVID-19 outbreak; for adding an amendment to the Michigan state Consititution ,0,protest,0,0,0,0,1,1,https://www.sturgisjournal.com/news/20200606/rally-attracts-about-100-to-protest-government-overreach,,,,,,,,,,,,,,,,,,,,,,
Westminster,,Carroll,MD,US,2020-06-06,,,,,,,ReOpen Maryland,against shut-down due to coronoa virus,0,rally,,,,,0,1,https://www.capitalgazette.com/maryland/cc-carroll-freedom-rally-20200606-bjeo2pinxrhwvfaqmgpjo27tvq-story.html,,,,,,,,,,,,,,,,,,,,,,
Adelanto,outside Adelanto Detention Center,San Bernardino,CA,US,2020-06-07,approximately 300,300,,300,,,general protestors,protest prison conditions,0,protest,1,0,0,1,1,1,https://laist.com/2020/06/22/adelanto-detention-facility-immigrant-detainee-protest.php,http://nixle.us/BXZB4,,,0,,,,,,,,,,,,,,,,,,
Billings,City Courthouse,Yellowstone,MT,US,2020-06-07,dozens,24,,24,,,general protestors,againt rioting,2,counter-protest,0,0,0,0,1,1,https://helenair.com/news/state-and-regional/hundreds-gather-for-peaceful-george-floyd-rally-in-downtown-billings/article_064f3709-fa6d-56c9-969c-f7838fe8898b.html,,,,,,,,,,,,,,,,,,,,,,
Charleston,Capitol,,WV,US,2020-06-07,1,1,,1,,,general protestors,against removal of confederate statue,2,counter-protest,0,0,0,0,1,1,https://www.wsaz.com/content/news/Charleston-protest-at-Stonewall-Jackson-statue-sparks-conversation-571091481.html,,,,,,,,,,,,,,,,,,,,,,
Cheshire,in front of the South Main Street municipal building,New Haven,CT,US,2020-06-07,,,,,,,general protesters,against rioting,0,protest,0,0,0,0,0,1,https://www.ctinsider.com/metro/nhregister/article/Cheshire-man-takes-solitary-stand-against-15315059.php,,,,,,,,,,,,,,,,,,,,,,
